titulo,subtitulo,autor,data,secao,texto,url
O acordo entre Freixo e Ciro Gomes,Nao possui,Nao possui,05/04/2019 15:57:13,Brasil,"<p>Ciro Gomes se reuniu com Marcelo Freixo recentemente para tentar chegar a um acordo.<br><br>O pedetista pediu que o deputado do PSOL ajude a baixar a bandeira ""Lula livre"" e, em troca, ofereceu apoio para a candidatura à Prefeitura do Rio...</p>",https://www.oantagonista.com/brasil/o-acordo-entre-freixo-e-ciro-gomes/
FHC: Bolsonaro diz que 1964 não foi golpe ‘porque ele não estava lá’,Nao possui,Nao possui,05/04/2019 16:31:18,Brasil,"<p>Fernando Henrique Cardoso também está participando da Brazil Conference, evento organizado por estudantes brasileiros de Harvard e do MIT nos EUA...</p>",https://www.oantagonista.com/brasil/fhc-bolsonaro-diz-que-1964-nao-foi-golpe-porque-ele-nao-estava-la/
A briga na esquerda pelo Nordeste,Nao possui,Nao possui,05/04/2019 16:23:21,Brasil,<p>Partidos de esquerda se articulam para tentar quebrar nas eleições municipais do ano que vem a quase hegemonia do PT no Nordeste...</p>,https://www.oantagonista.com/brasil/a-briga-na-esquerda-pelo-nordeste/
Maduro prepara-se para mandar prender Guaidó,Nao possui,Nao possui,05/04/2019 16:13:18,Mundo,"<p>Na <strong>Crusoé</strong>, Duda Teixeira reporta como Nicolás Maduro está afastando a possibilidade de Juan Guaidó vir a assumir o poder e convocar eleições limpas -- e como o ditador se prepara para prender o presidente interino da Venezuela.<br><br>Leia...</p>",https://www.oantagonista.com/mundo/maduro-prepara-se-para-mandar-prender-guaido/
"Huck: “O capitalismo é incrível, mas é que nem uma fera”",Nao possui,Nao possui,05/04/2019 16:05:53,Brasil,"<p>Na Brasil Conference, organizada por Harvard e MIT, Luciano Huck também disse o seguinte:<br><br>""Eu desconheço qualquer sistema que tenha sido mais eficiente que o capitalismo para resgatar gente da pobreza. Comunismo não deu certo...</p>",https://www.oantagonista.com/brasil/huck-o-capitalismo-e-incrivel-mas-e-que-nem-uma-fera/
Deputado nomeia cunhada do presidente da Câmara,Nao possui,Nao possui,05/04/2019 16:05:42,Brasil,"<p>Aliado de Davi Alcolumbre, o deputado André Abdon nomeou uma cunhada do presidente do Senado, Francilene Araújo Tobelém, como assessora de seu gabinete...</p>",https://www.oantagonista.com/brasil/deputado-nomeia-cunhada-do-presidente-da-camara/
Polícia Legislativa não comenta novas ameaças a senador,Nao possui,Nao possui,05/04/2019 16:04:03,Brasil,"<p>Mais cedo, <strong>O Antagonista</strong> revelou <strong>aqui</strong> que o senador Marcos do Val, um dos relatores do pacote anticrime de Sergio Moro, voltou a ser ameaçada por meio de um email apócrifo.<br><br>A Polícia Legislativa, acionada novamente pelo parlamentar...</p>",https://www.oantagonista.com/brasil/policia-legislativa-nao-comenta-novas-ameacas-a-senador/
"Cabral diz que Crivella recebeu US$ 1,5 milhão para apoiar Paes em 2008",Nao possui,Nao possui,05/04/2019 15:52:28,Brasil,"<p>Em seu depoimento de hoje a Marcelo Bretas, Sérgio Cabral disse que Marcelo Crivella recebeu US$ 1,5 milhão para apoiar Eduardo Paes no segundo turno da eleição de 2008...</p>",https://www.oantagonista.com/brasil/cabral-diz-que-crivella-recebeu-us-15-milhao-para-apoiar-paes-em-2008/
"Garotinho comprou emissora de TV com propina do transporte, diz Cabral",Nao possui,Nao possui,05/04/2019 15:47:42,Brasil,"<p>No depoimento que presta hoje, Sérgio Cabral também disse que o ex-governador Anthony Garotinho comprou uma emissora de TV com propina do setor de transportes...</p>",https://www.oantagonista.com/brasil/garotinho-comprou-emissora-de-tv-com-propina-do-transporte-diz-cabral/
Senador tucano sobre Doria: “Vou deixar que ele se embriague em sua arrogância”,Nao possui,Nao possui,05/04/2019 15:41:17,Brasil,"<p>Em entrevista ao Valor, João Doria citou FHC, Geraldo Alckmin, José Serra e Tasso Jeiressatti como lideranças que teriam que ser substituídas no comando do partido...</p>",https://www.oantagonista.com/brasil/senador-tucano-sobre-doria-vou-deixar-que-ele-se-embriague-em-sua-arrogancia/
Sem carregadores de mala em Boston,Nao possui,Nao possui,05/04/2019 15:34:09,Brasil,"<p>Hoje começou a Brazil Conference, evento organizado por estudantes brasileiros em Harvard, em Boston, nos Estados Unidos...</p>",https://www.oantagonista.com/brasil/sem-carregadores-de-mala-em-boston/
